skill_name,p_l0,p_t,p_g,p_s
Proportion,0.30145505651424276,0.06120037748218691,0.37172914978881755,0.20347294406394922
Conversion of Fraction Decimals Percents,0.5740177646821657,0.026628509430245445,0.38592328194665215,0.2172817903730552
Addition and Subtraction Integers,0.6114738806468311,0.0126980330947383,0.39156453788676626,0.14453005183859383
Finding Percents,0.4619790846485406,0.06950060731789436,0.1758512429101691,0.21094850658190273
Addition and Subtraction Fractions,0.6369083270034044,0.11695179793355198,0.16981213266694195,0.19750017955434446
Absolute Value,0.49200483677053897,0.10584943583398178,0.4564697247427351,0.08477974524882044
Probability Simple,0.7947069224096616,0.2639274655100737,0.07594410527125053,0.1347803545211911
Counting Methods,0.4260034644482094,0.024289989937667535,0.2906049086806929,0.36856503677603447
Multiplication and Division Integers,0.7241540342718784,0.044374548755688054,0.5207042867629578,0.08644332484548696
Ordering Fractions,0.5151971044770407,0.06217102124402771,0.4937408275833812,0.07325081661711279
